pais,anio,pib_per_capita_pps_indice,pib_crecimiento_real_pct,poblacion_millones,saldo_migratorio_neto_por_mil
España,2015,91,3.8,46.4,1.0
España,2016,92,3.0,46.5,2.5
España,2017,92,3.0,46.6,4.0
España,2018,91,2.3,46.9,6.0
España,2019,91,2.1,47.1,6.5
España,2020,84,-11.3,47.4,3.0
España,2021,86,6.7,47.4,3.5
España,2022,88,6.2,47.6,7.0
España,2023,90,2.7,48.1,9.5
España,2024,92,3.2,48.6,10.0
Alemania,2015,124,1.7,81.2,11.0
Alemania,2016,124,2.2,82.3,8.5
Alemania,2017,123,2.7,82.6,5.0
Alemania,2018,122,1.0,82.9,4.5
Alemania,2019,120,1.1,83.1,4.0
Alemania,2020,117,-3.7,83.2,1.5
Alemania,2021,116,3.2,83.2,3.0
Alemania,2022,117,1.4,84.4,12.5
Alemania,2023,116,-0.3,84.7,6.0
Alemania,2024,115,0.1,83.6,3.5
Francia,2015,105,1.1,66.5,0.8
Francia,2016,104,1.1,66.7,0.6
Francia,2017,104,2.4,66.9,0.7
Francia,2018,104,1.8,67.1,0.6
Francia,2019,105,1.9,67.3,0.7
Francia,2020,100,-7.5,67.3,0.5
Francia,2021,101,6.9,67.6,0.8
Francia,2022,101,2.6,68.0,1.0
Francia,2023,99,1.1,68.3,1.2
Francia,2024,98,1.1,68.6,1.3
Italia,2015,96,0.9,60.8,2.9
Italia,2016,95,1.4,60.6,2.5
Italia,2017,95,1.7,60.5,2.0
Italia,2018,94,0.9,60.4,1.8
Italia,2019,93,0.5,60.2,1.9
Italia,2020,86,-9.0,59.6,0.6
Italia,2021,91,8.3,59.2,1.2
Italia,2022,94,4.0,58.9,4.0
Italia,2023,94,0.9,58.9,4.5
Italia,2024,93,0.5,58.9,4.2
Polonia,2015,68,4.4,38.0,-0.2
Polonia,2016,68,3.1,37.9,-0.2
Polonia,2017,70,4.9,37.9,0.4
Polonia,2018,72,5.4,37.9,0.5
Polonia,2019,73,4.7,37.9,0.3
Polonia,2020,74,-2.0,37.8,-0.1
Polonia,2021,77,6.9,37.7,-0.3
Polonia,2022,79,5.3,36.8,17.5
Polonia,2023,80,0.2,36.6,2.0
Polonia,2024,81,2.9,36.5,1.0
UE27,2015,100,2.3,446.8,2.0
UE27,2016,100,2.0,447.3,2.3
UE27,2017,100,2.8,447.8,2.4
UE27,2018,100,2.1,448.3,2.6
UE27,2019,100,1.8,448.9,2.7
UE27,2020,94,-5.6,447.3,1.0
UE27,2021,96,6.0,446.7,1.4
UE27,2022,98,3.5,448.4,4.5
UE27,2023,98,0.5,449.3,3.0
UE27,2024,98,1.0,449.7,2.8
